POSITION;PLAYER;TEAM;VALUE;SCORE;HOME;AWAY;FS#PE#A#FT#FD#FF#G#I#PP
TEC;Tite;corinthians;15.52;2.17;joinville;corinthians;-#-#-#-#-#-#-#-#-
LAT;Fábio Santos;corinthians;15.46;0.1;joinville;corinthians;11#20#0#0#0#0#1#1#0
MEI;Willians;cruzeiro;15.28;0;atlético-mg;cruzeiro;4#9#0#0#0#1#0#0#0
ATA;Willian;cruzeiro;15.12;1.9;atlético-mg;cruzeiro;9#12#0#0#4#6#0#4#0
GOL;Danilo;chapecoense;15.04;14.2;flamengo;chapecoense;
ATA;Nilmar;internacional;14.96;3;internacional;coritiba;4#5#0#0#0#1#1#0#0
MEI;Fernando Bob;pontepreta;14.94;3.7;santos;ponte preta;6#15#0#0#0#1#0#0#0
TEC;Levir Culpi;atlético-mg;14.91;4.58;atlético-mg;cruzeiro;-#-#-#-#-#-#-#-#-
MEI;Jean;fluminense;14.88;3.1;fluminense;sport;2#18#0#0#4#0#0#0#0
ZAG;Matheus Ferraz;sport;14.79;8.8;fluminense;sport;3#14#0#0#1#0#1#0#0
ATA;Ananias;chapecoense;14.62;11;flamengo;chapecoense;13#13#1#0#3#1#1#0#0
GOL;Victor;atlético-mg;14.56;-1.5;atlético-mg;cruzeiro;1#4#0#0#0#0#0#0#0
ATA;Carlos;atlético-mg;14.37;15;atlético-mg;cruzeiro;4#6#1#0#2#1#2#1#0
LAT;Gilson;pontepreta;14.27;5.8;santos;ponte preta;4#12#0#0#1#0#0#0#0
MEI;Gerson;fluminense;14.18;3.9;fluminense;sport;9#16#1#0#3#2#0#1#0
ZAG;Durval;sport;14.15;9.9;fluminense;sport;2#12#0#0#1#0#0#0#0
ZAG;Dória;sãopaulo;13.93;0.7;são paulo;grêmio;3#12#0#0#1#2#1#0#0
ATA;Diego Oliveira;pontepreta;13.86;11.3;santos;ponte preta;12#6#0#0#2#2#2#0#0
MEI;Rithely;sport;13.67;3.4;fluminense;sport;4#18#1#0#1#3#0#0#0
TEC;Juan Carlos Osorio;sãopaulo;13.49;0;são paulo;grêmio;-#-#-#-#-#-#-#-#-
MEI;Vinícius;fluminense;13.38;10;fluminense;sport;4#7#0#1#1#3#2#0#0
ZAG;Kadu;atlético-pr;13.37;7.3;atlético-pr;vasco;0#8#0#0#0#0#0#0#0
